SPACECRAFT DATE/TIME ,   adcs_main ADRW1MTRT,   adcs_main ADRW2MTRT,   adcs_main ADRW3MTRT,   adcs_main ADRW4MTRT
        UTC          ,                     C,                     C,                     C,                     C
  04/28/13 16:49:01.0,   3.3466339266207E+01,   1.6899826578968E+02,   3.9282773525427E+01,   3.5773235011568E+01
  04/28/13 16:54:01.0,   3.3486616023756E+01,   1.6911176106132E+02,   3.9337611148016E+01,   3.5799268807674E+01
  04/28/13 16:59:01.0,   3.3451857893958E+01,   1.6907631591289E+02,   3.9333449259722E+01,   3.5811302842873E+01
  04/28/13 17:04:01.0,   3.3504454638568E+01,   1.6909165784281E+02,   3.9346819043934E+01,   3.5787228924317E+01
  04/28/13 17:09:01.0,   3.3501088596550E+01,   1.6903729085129E+02,   3.9363229531527E+01,   3.5840605643099E+01
  04/28/13 17:14:01.0,   3.3498510057519E+01,   1.6899126839427E+02,   3.9337614308686E+01,   3.5838395135498E+01
  04/28/13 17:19:01.0,   3.3532956473380E+01,   1.6907631591289E+02,   3.9384085282201E+01,   3.5828897026419E+01
  04/28/13 17:24:01.0,   3.3540162525126E+01,   1.6901124496875E+02,   3.9377394886882E+01,   3.5841393581909E+01
  04/28/13 17:29:01.0,   3.3605413746750E+01,   1.6911546428578E+02,   3.9366195226403E+01,   3.5817169174274E+01
  04/28/13 17:34:01.0,   3.3563958620034E+01,   1.6903134818727E+02,   3.9429454105905E+01,   3.5868499782602E+01
  04/28/13 17:39:01.0,   3.3593816992665E+01,   1.6911546428578E+02,   3.9449662438507E+01,   3.5878708745482E+01
  04/28/13 17:44:01.0,   3.3632437744043E+01,   1.6909165784281E+02,   3.9374341179938E+01,   3.5847410230289E+01
  04/28/13 17:49:01.0,   3.3637298961351E+01,   1.6903716753999E+02,   3.9446672410741E+01,   3.5852349534015E+01
  04/28/13 17:54:01.0,   3.3662215704211E+01,   1.6903147483130E+02,   3.9472286854206E+01,   3.5895594458206E+01
  04/28/13 17:59:01.0,   3.3648886268741E+01,   1.6897844498065E+02,   3.9443677856915E+01,   3.5864064559781E+01
  04/28/13 18:04:01.0,   3.3709835382769E+01,   1.6911176106132E+02,   3.9435561512252E+01,   3.5862499599612E+01
  04/28/13 18:09:01.0,   3.3730073089943E+01,   1.6905674172644E+02,   3.9488411384983E+01,   3.5899224072928E+01
  04/28/13 18:14:01.0,   3.3727699852759E+01,   1.6911176106132E+02,   3.9536593575985E+01,   3.5895576352216E+01
  04/28/13 18:19:01.0,   3.3759061088978E+01,   1.6909589009934E+02,   3.9530147237492E+01,   3.5908016359554E+01
  04/28/13 18:24:01.0,   3.3736645876752E+01,   1.6909165784281E+02,   3.9554984267777E+01,   3.5955800459903E+01
  04/28/13 18:29:01.0,   3.3770662577372E+01,   1.6909601341063E+02,   3.9595760779091E+01,   3.5937330377529E+01
  04/28/13 18:34:01.0,   3.3796219585319E+01,   1.6911188770535E+02,   3.9576399106986E+01,   3.5931704234816E+01
  04/28/13 18:39:01.0,   3.3790971549558E+01,   1.6913503847223E+02,   3.9551016717258E+01,   3.5934415651602E+01
  04/28/13 18:44:01.0,   3.3778340486294E+01,   1.6911176106132E+02,   3.9597855910240E+01,   3.5949772289376E+01
  04/28/13 18:49:01.0,   3.3805460785961E+01,   1.6903716753999E+02,   3.9577873760350E+01,   3.5943203120041E+01
  04/28/13 18:54:01.0,   3.3826005608558E+01,   1.6911176106132E+02,   3.9628503393965E+01,   3.5988916716354E+01
  04/28/13 18:59:01.0,   3.3834491490305E+01,   1.6901759335355E+02,   3.9551019746907E+01,   3.5966650812799E+01
  04/28/13 19:04:01.0,   3.3867722965029E+01,   1.6909165784281E+02,   3.9628495615141E+01,   3.6010007919721E+01
