SPACECRAFT DATE/TIME ,   adcs_main ADRW1MTRT,   adcs_main ADRW2MTRT,   adcs_main ADRW3MTRT,   adcs_main ADRW4MTRT
        UTC          ,                     C,                     C,                     C,                     C
  08/29/12 02:01:04.0,   2.6236290561534E+01,   1.6925248359091E+02,   2.5203412080901E+01,   2.6858960900792E+01
  08/29/12 02:06:04.0,   2.6188149369425E+01,   1.6923290940447E+02,   2.5193745232253E+01,   2.6831055512467E+01
  08/29/12 02:11:04.0,   2.6218920074992E+01,   1.6925248359091E+02,   2.5151351143916E+01,   2.6841571415137E+01
  08/29/12 02:16:04.0,   2.6238878104573E+01,   1.6925248359091E+02,   2.5193745458054E+01,   2.6822587757216E+01
  08/29/12 02:21:04.0,   2.6224709858839E+01,   1.6925248359091E+02,   2.5131104702047E+01,   2.6850263402171E+01
  08/29/12 02:26:04.0,   2.6210695080521E+01,   1.6925248359091E+02,   2.5174032679581E+01,   2.6862083840291E+01
  08/29/12 02:31:04.0,   2.6233396182832E+01,   1.6923238037240E+02,   2.5223658313488E+01,   2.6838675745141E+01
  08/29/12 02:36:04.0,   2.6255788122089E+01,   1.6925248359091E+02,   2.5185298104517E+01,   2.6836690614437E+01
  08/29/12 02:41:04.0,   2.6268138289937E+01,   1.6921240379792E+02,   2.5180273663905E+01,   2.6841572474037E+01
  08/29/12 02:46:04.0,   2.6255791094153E+01,   1.6925248359091E+02,   2.5219091583422E+01,   2.6836690004362E+01
  08/29/12 02:51:04.0,   2.6259444442991E+01,   1.6925248359091E+02,   2.5223658276493E+01,   2.6832879459974E+01
  08/29/12 02:56:04.0,   2.6250155984547E+01,   1.6925248359091E+02,   2.5230356114989E+01,   2.6873372016862E+01
  08/29/12 03:01:04.0,   2.6265236176051E+01,   1.6925248359091E+02,   2.5209196228870E+01,   2.6815495049961E+01
  08/29/12 03:06:04.0,   2.6250155882326E+01,   1.6925248359091E+02,   2.5202194126097E+01,   2.6828229131493E+01
  08/29/12 03:11:04.0,   2.6279712355812E+01,   1.6925248359091E+02,   2.5223658279160E+01,   2.6844471501142E+01
  08/29/12 03:16:04.0,   2.6295256905674E+01,   1.6925248359091E+02,   2.5210642835893E+01,   2.6794378770470E+01
  08/29/12 03:21:04.0,   2.6294188178868E+01,   1.6925248359091E+02,   2.5194735045142E+01,   2.6832886154866E+01
  08/29/12 03:26:04.0,   2.6278339911747E+01,   1.6925248359091E+02,   2.5188113204001E+01,   2.6814126116759E+01
  08/29/12 03:31:04.0,   2.6285504799079E+01,   1.6923238037240E+02,   2.5212089266210E+01,   2.6780727632797E+01
