SPACECRAFT DATE/TIME ,   adcs_main ADRW1TCMD,   adcs_main ADRW2TCMD,   adcs_main ADRW3TCMD,   adcs_main ADRW4TCMD
        UTC          ,                    DN,                    DN,                    DN,                    DN
  07/04/12 16:41:21.0,  -8.3985785643260E-03,  -1.1317996600022E-02,   4.2067693928342E-03,   4.6314623633710E-03
  07/04/12 16:46:21.0,  -8.6023600647847E-03,  -1.1130845304579E-02,   3.9421269148685E-03,   4.5588981490194E-03
  07/04/12 16:51:21.0,  -8.3800116926432E-03,  -1.1321054970225E-02,   4.1910976862224E-03,   4.2968544999409E-03
  07/04/12 16:56:21.0,  -8.5741945666571E-03,  -1.1175686921924E-02,   3.9709676670221E-03,   4.5490217410649E-03
  07/04/12 17:01:21.0,  -8.5192477454742E-03,  -1.1433900737514E-02,   4.0820339710141E-03,   4.3998072800847E-03
  07/04/12 17:06:21.0,  -8.5353013190130E-03,  -1.1323812746753E-02,   4.1046245815232E-03,   4.4365774120282E-03
  07/04/12 17:11:21.0,  -8.5877183824778E-03,  -1.1234327411900E-02,   4.0013399821085E-03,   4.4740363926394E-03
  07/04/12 17:16:21.0,  -8.4840920381248E-03,  -1.1363536523034E-02,   4.1693349341707E-03,   4.4988755742088E-03
  07/04/12 17:21:21.0,  -8.6933813119928E-03,  -1.1217266963795E-02,   3.8794144856123E-03,   4.6428270653511E-03
  07/04/12 17:26:21.0,  -8.4721238352358E-03,  -1.1535952836275E-02,   4.1961734724464E-03,   4.4396283483366E-03
  07/04/12 17:31:21.0,  -8.6627640016377E-03,  -1.1394086293876E-02,   3.9661458600312E-03,   4.6017270021063E-03
  07/04/12 17:36:21.0,  -8.7108748468260E-03,  -1.1302552965159E-02,   3.9814139735730E-03,   4.6294120297534E-03
  07/04/12 17:41:21.0,  -8.5584512601296E-03,  -1.1545231596877E-02,   4.3011848799263E-03,   4.4849566246072E-03
  07/04/12 17:46:21.0,  -8.6098587947587E-03,  -1.1459519670655E-02,   4.0917915583123E-03,   4.4074179268985E-03
  07/04/12 17:51:21.0,  -8.5252480395138E-03,  -1.1506076722095E-02,   4.1668242666249E-03,   4.4353710388532E-03
  07/04/12 17:56:21.0,  -8.7117180041969E-03,  -1.1432344391942E-02,   4.0258960856590E-03,   4.5139223857162E-03
  07/04/12 18:01:21.0,  -8.6911768031617E-03,  -1.1448786041389E-02,   4.0630634447249E-03,   4.5714093816544E-03
  07/04/12 18:06:21.0,  -8.5750687805315E-03,  -1.1618684915205E-02,   4.1721757247190E-03,   4.4592044859504E-03
  07/04/12 18:11:21.0,  -8.6611068372925E-03,  -1.1506790934751E-02,   4.0866637214397E-03,   4.5856545353308E-03
  07/04/12 18:16:21.0,  -8.7310105189681E-03,  -1.1496506482363E-02,   4.0648731651405E-03,   4.6357686608098E-03
  07/04/12 18:21:21.0,  -8.6155104202529E-03,  -1.1653764626632E-02,   4.1972482064739E-03,   4.4680037128273E-03
  07/04/12 18:26:21.0,  -8.7277340143919E-03,  -1.1588555028041E-02,   4.0639131458011E-03,   4.5013120770454E-03
  07/04/12 18:31:21.0,  -8.6161700077355E-03,  -1.1700153692315E-02,   4.2129720483596E-03,   4.5053842621079E-03
  07/04/12 18:36:21.0,  -8.7243147753179E-03,  -1.1573507146289E-02,   4.1133989007600E-03,   4.6632749765801E-03
  07/04/12 18:41:21.0,  -8.6619223530094E-03,  -1.1760324022422E-02,   4.2555710335728E-03,   4.4963082425905E-03
  07/04/12 18:46:21.0,  -8.8654773371915E-03,  -1.1607550960034E-02,   4.1363192376957E-03,   4.5908104659369E-03
  07/04/12 18:51:21.0,  -8.9146594827374E-03,  -1.1457314894845E-02,   3.9735667776161E-03,   4.7617288137553E-03
  07/04/12 18:56:21.0,  -8.5877827244500E-03,  -1.1779248978322E-02,   4.2873649543617E-03,   4.5192871714244E-03
  07/04/12 19:01:21.0,  -8.8255505325894E-03,  -1.1598299890757E-02,   4.0817833638963E-03,   4.6083200738455E-03
  07/04/12 19:06:21.0,  -8.7920668783287E-03,  -1.1697304087381E-02,   4.0985988436538E-03,   4.4972691528771E-03
  07/04/12 19:11:21.0,  -8.9336572711666E-03,  -1.1553953842570E-02,   3.9763638594498E-03,   4.5805829965199E-03
  07/04/12 19:16:21.0,  -8.9080930501223E-03,  -1.1608431618661E-02,   3.9708913800617E-03,   4.6311679684247E-03
