SPACECRAFT DATE/TIME ,   adcs_main ADATTERRX,   adcs_main ADATTERRY,   adcs_main ADATTERRZ
        UTC          ,                    DN,                    DN,                    DN
  01/28/13 07:25:00.0,  -2.0877194665445E-05,  -4.5087495762649E-06,   1.5760066114723E-06
  01/28/13 07:30:00.0,  -2.3139316032636E-05,  -3.7561398774718E-06,   1.8863757844656E-06
  01/28/13 07:35:00.0,  -2.1416569500919E-05,  -4.3319965573119E-06,   1.2969120408949E-06
  01/28/13 07:40:00.0,  -2.1961359404183E-05,  -2.6588187267862E-06,   1.3026716047193E-06
  01/28/13 07:45:00.0,  -2.0615962447816E-05,  -4.7934677083579E-06,   3.0796180501606E-06
  01/28/13 07:50:00.0,  -2.2122044357502E-05,  -3.5313950883638E-06,   1.1530116811779E-06
  01/28/13 07:55:00.0,  -2.0332188517690E-05,  -6.0660443875804E-06,   3.4760410216942E-06
  01/28/13 08:00:00.0,  -2.2797619969121E-05,  -4.3609808623539E-06,   8.0562140321187E-07
  01/28/13 08:05:00.0,  -2.1371621229870E-05,  -4.2711597737366E-06,   1.3435369779321E-06
  01/28/13 08:10:00.0,  -2.1294187542177E-05,  -5.6383704869252E-06,   2.2105476729924E-06
  01/28/13 08:15:00.0,  -2.2965310343655E-05,  -3.0035239002283E-06,   3.9204559811878E-07
  01/28/13 08:20:00.0,  -2.2535077420495E-05,  -1.3703541655256E-06,  -1.0401724580333E-06
  01/28/13 08:25:00.0,  -2.2033588041571E-05,  -4.2031505353179E-06,   1.5240789650761E-07
  01/28/13 08:30:00.0,  -2.1756008040181E-05,  -4.2800884277009E-06,   1.6384822013530E-06
  01/28/13 08:35:00.0,  -2.0692516743187E-05,  -5.4875079939857E-06,   2.1003074683298E-06
  01/28/13 08:40:00.0,  -2.5061832599628E-05,  -3.7044628889286E-06,   2.2744141733829E-07
  01/28/13 08:45:00.0,  -2.1999871545783E-05,  -2.9263739361340E-06,   6.8379005407830E-07
  01/28/13 08:50:00.0,  -2.3350594364615E-05,  -5.1883168688012E-06,   2.1816885597066E-06
  01/28/13 08:55:00.0,  -2.2647104923029E-05,  -4.1695849419436E-06,   1.1967816669056E-06
  01/28/13 09:00:00.0,  -2.2021361784255E-05,  -5.6106229400636E-06,   1.7964643867193E-06
  01/28/13 09:05:00.0,  -2.2411599740432E-05,  -2.4780147956941E-06,  -1.8001749651830E-07
  01/28/13 09:10:00.0,  -2.1724262637690E-05,  -4.8986328884363E-06,   1.7575855950251E-06
  01/28/13 09:15:00.0,  -2.2311527397202E-05,  -4.5544319278671E-06,   2.4331947686089E-06
  01/28/13 09:20:00.0,  -1.8949911716012E-05,  -5.0001510688465E-06,   1.7657211577671E-06
  01/28/13 09:25:00.0,  -2.2546968745398E-05,  -3.4746071514746E-06,   2.0985817135018E-07
  01/28/13 09:30:00.0,  -2.2041682315527E-05,  -4.0733552384609E-06,   1.1236278889252E-06
  01/28/13 09:35:00.0,  -2.0078640290535E-05,  -4.7955084157062E-06,   1.5617137080426E-06
  01/28/13 09:40:00.0,  -2.0985670595148E-05,  -4.2988179988394E-06,   2.1342845511185E-06
  01/28/13 09:45:00.0,  -2.4271591200886E-05,  -1.5428756626316E-06,  -1.4146616899779E-06
  01/28/13 09:50:00.0,  -2.1268773173991E-05,  -4.3486051058987E-06,   1.6480669754178E-06
  01/28/13 09:55:00.0,  -2.1289959355878E-05,  -3.5981363386857E-06,  -4.0224763703615E-08
  01/28/13 10:00:00.0,  -2.3838515716079E-05,  -1.9332540597361E-06,  -6.7603337546037E-07
  01/28/13 10:05:00.0,  -2.3114186384798E-05,  -3.1314927538991E-06,  -5.0288372032507E-08
  01/28/13 10:10:00.0,  -2.0720833210817E-05,  -5.3796034399056E-06,   3.1066581523949E-06
  01/28/13 10:15:00.0,  -2.0553109255464E-05,  -5.5596092602173E-06,   1.2003433880636E-06
  01/28/13 10:20:00.0,  -2.1148222190277E-05,  -5.9532870777919E-06,   1.8009897509567E-06
  01/28/13 10:25:00.0,  -2.2639579581967E-05,  -3.7804916513551E-06,   1.3118971715661E-06
  01/28/13 10:30:00.0,  -2.0999834698614E-05,  -4.1290360566866E-06,   2.6795403315797E-06
